id,district,InvalidVotes,Museveni,winner,VoterTurnout,perctofregvoters,pertofinvalidvotes,perctofvalidvotes
110,Nwoya,1552,13910,Museveni,30494,46.6757598,5.52757668,43.96180883
111,Agago,2572,47696,Museveni,31821,67.64646074,3.213900807,65.03141713
112,Rubirizi,1306,39686,Museveni,24485,66.84405807,4.280413823,65.07556061
113,Kagadi,5037,88830,Museveni,62029,64.69205373,1.799294171,61.82490893
114,Kakumiro,3347,73132,Museveni,51244,63.57691679,2.246767739,61.19794443
115,Omoro,2557,20902,Museveni,35214,51.23795281,4.377146339,47.69718622
116,Rubanda,1889,67263,Museveni,32559,70.82918963,2.832056623,69.13676477
117,Bunyangabu,1636,44435,Museveni,34547,62.62765037,3.419515361,60.85785374
118,Butebo,912,23532,Museveni,14708,71.40913244,6.144664969,69.63629648
119,Kyotera,2279,25598,Kyagulanyi,46817,62.5080082,2.531392146,60.68293933
120,Namisindwa,3351,40563,Museveni,38516,60.37081623,3.252358757,56.92296612
121,Pakwach,0,32354,Museveni,30632,61.12739686,4.011370414,61.12739686
122,Rukiga,1583,31251,Museveni,21170,65.27515788,5.18494218,62.67858607
123,Bugweri,2018,17428,Kyagulanyi,37889,55.40004473,3.720880958,53.02461361
124,Kapelebyong,1652,17529,Museveni,12201,69.21194075,7.976481869,65.04327639
125,Kassanda,3490,37265,Kyagulanyi,47934,64.44012522,2.344990282,61.85106604
126,Kikuube,3246,49490,Museveni,45739,59.46022601,2.801684024,56.58320408
127,Kwania,2820,36364,Museveni,31585,63.93871237,3.608983068,60.71905648
128,Nabilatuk,536,16038,Museveni,4436,79.23901343,14.79384097,76.73047222
129,Kalaki,1563,24556,Museveni,17995,66.65925555,5.85663202,63.76336316
130,Karenga,673,12819,Museveni,3205,82.22899917,17.52703077,78.49736623
131,Kazo,1078,73043,Museveni,17262,81.40732204,3.404672404,80.24622212
132,Kitagwenda,1191,40417,Museveni,28176,62.94435604,4.157186633,61.37801334
133,Madi,2414,25779,Museveni,23906,62.29575421,4.985489874,58.48842344
134,Obongi,884,7676,Museveni,6438,66.67874334,16.36043683,62.1034108
135,Rwampara,747,35981,Museveni,28146,59.98919626,4.49350354,58.92730219
136,Arua City,4645,39566,Museveni,92098,45.84573048,1.858690156,43.11443792
137,Gulu City,1952,14603,Museveni,68485,33.76756511,3.057030396,31.87976905
138,Jinja City,2750,21202,Kyagulanyi,83705,45.9095315,2.042649435,44.13247173
139,Fort Portal City,1424,25753,Museveni,27387,57.97154827,4.850912328,55.78625907
140,Mbarara City,1656,36466,Museveni,59437,48.09494284,2.760433495,46.64879357
141,Masaka City,1543,14992,Kyagulanyi,51548,57.86462207,2.58380402,56.6033726
142,Mbale City,3128,29717,Kyagulanyi,69277,53.11962862,2.13907724,51.00288278
143,Terego,4497,24718,Museveni,42261,55.56992367,3.323240606,50.8421119
144,Lira City,2140,30271,Museveni,57418,48.62935261,2.828078589,46.71474072
145,Hoima City,1450,19751,Museveni,25959,58.14279725,5.096907349,55.80476636
146,Soroti City,1252,12031,Amuriat,24392,56.45763045,5.64272836,54.22267445
