id,district,winner,Reg_Voters,Amuriat,Amuriat_Oboi_Patrick_VOTES,Kabuleta,Kabuleta_Kiiza_Joseph_VOTES,Kalembe,Kalembe_Nancy_Linda_VOTES,Katumba,Katumba_John_VOTES,Kyagulanyi,Kyagulanyi_Ssentamu_Robert_VOTES,Mao,Mao_Norbert_VOTES,Mayambala,Mayambala_Willy_VOTES,Mugisha,Mugisha_Muntu_Gregg_VOTES,Mwesigye,Mwesigye_Fred_VOTES,Tumukunde,Tumukunde_Henry_Kakurugu_VOTES,Museveni,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,Valid_Votes,,Invalid_Votes,,Total_Votes,perct,Received_Station
25,BUTAMBALA,Kyagulanyi_Ssentamu_Robert_VOTES,55813,83,0.148710874,22,0.03941734,45,0.080626377,59,0.105710139,26806,48.02823715,47,0.084209772,16,0.028667156,49,0.087793166,38,0.068084496,43,0.077042983,9379,16.80432874,36587,65.55282819,3161,5.663555086,37722,67.5864046,123/123
#N/A,BUTEBO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,51443,737,1.432653617,108,0.2099411,92,0.178838715,120,0.233267889,10890,21.1690609,52,0.101082752,12,0.023326789,75,0.14579243,91,0.176894816,114,0.221604494,23532,45.74383298,35823,69.63629648,3161,6.144664969,36735,71.40913244,119/119
26,BUVUMA,Kyagulanyi_Ssentamu_Robert_VOTES,42415,208,0.49039255,25,0.058941412,106,0.249911588,68,0.160320641,13572,31.99811387,98,0.231050336,14,0.033007191,62,0.146174702,43,0.101379229,47,0.110809855,6814,16.06507132,21057,49.6451727,3161,7.452552163,21905,51.6444654,108/108
27,BUYENDE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,138849,624,0.44940907,298,0.214621639,516,0.371626731,209,0.15052323,30252,21.78769743,130,0.09362689,64,0.046093238,266,0.19157502,163,0.117393715,393,0.283041289,47916,34.50943111,80831,58.21503936,3161,2.276573832,84965,61.19237445,281/281
28,DOKOLO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,93712,2542,2.71256616,870,0.928376302,222,0.236896022,310,0.330800751,15364,16.39491207,420,0.448181663,163,0.173937169,492,0.525012805,264,0.281714188,771,0.822733481,36774,39.24150589,58192,62.0966365,3161,3.373100563,60334,64.38236298,173/173
#N/A,FORT_PORTAL,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,65163,443,0.679833648,208,0.319199546,156,0.239399659,316,0.484937771,8440,12.95213541,45,0.069057594,15,0.023019198,828,1.27065973,52,0.079799886,96,0.147322867,25753,39.52089376,36352,55.78625907,3161,4.850912328,37776,57.97154827,122/122
29,GOMBA,Kyagulanyi_Ssentamu_Robert_VOTES,81314,71,0.087315837,33,0.040583417,43,0.052881423,71,0.087315837,29017,35.68512187,50,0.061490026,16,0.019676808,76,0.09346484,46,0.056570824,89,0.109452247,24568,30.21373933,54080,66.50761247,3161,3.887399464,55644,68.43102049,207/208
30,GULU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,45342,1165,2.56936174,255,0.562392484,171,0.377133783,119,0.262449826,3023,6.667107759,4011,8.846102951,598,1.318865511,208,0.45873583,117,0.258038904,175,0.385955626,9997,22.04799083,19839,43.75413524,3161,6.971461338,21894,48.28635702,92/92
30,GULU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,103401,2159,2.087987544,209,0.202125705,231,0.223402095,163,0.157638708,7290,7.050221951,7811,7.55408555,47,0.045454106,163,0.157638708,139,0.1344281,149,0.144099187,14603,14.1226874,32964,31.87976905,3161,3.057030396,34916,33.76756511,188/188
31,HOIMA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,90617,345,0.380723264,1896,2.092322633,142,0.156703488,114,0.125804209,10973,12.10920688,95,0.104836841,47,0.051866648,304,0.33547789,231,0.254919055,154,0.169946037,38431,42.4103645,52732,58.19217145,3161,3.488307933,55703,61.4708057,173/173
31,HOIMA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,62018,292,0.470831049,2285,3.684414202,69,0.111258022,109,0.175755426,11662,18.80421813,51,0.08223419,14,0.022574091,261,0.420845561,32,0.051597923,83,0.133832113,19751,31.84720565,34609,55.80476636,3161,5.096907349,36059,58.14279725,112/112
32,IBANDA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,140486,958,0.681918483,136,0.096806799,134,0.09538317,353,0.251270589,7702,5.482396822,159,0.113178537,40,0.028472588,1419,1.01006506,97,0.069046026,240,0.170835528,77521,55.18058739,88759,63.17996099,3161,2.250046268,90801,64.63348661,280/280
33,IGANGA,Kyagulanyi_Ssentamu_Robert_VOTES,186519,849,0.45518151,123,0.065945024,1284,0.688401718,269,0.144221232,54712,29.33320466,288,0.154407862,64,0.034312858,241,0.129209357,128,0.068625716,334,0.179070229,35660,19.11869568,93952,50.37127585,3161,1.694733512,97320,52.17699001,323/323
34,ISINGIRO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,233099,1351,0.579582066,132,0.0566283,108,0.046332245,313,0.13427771,8769,3.761920901,129,0.055341293,30,0.012870068,845,0.362506918,206,0.088374468,228,0.097812517,188609,80.91368903,200720,86.10933552,3161,1.356076174,203130,87.14323099,508/509
35,JINJA,Kyagulanyi_Ssentamu_Robert_VOTES,120278,1113,0.925356258,163,0.13551938,530,0.440645837,177,0.147159081,36847,30.63486257,124,0.103094498,28,0.023279403,165,0.137182195,91,0.075658059,118,0.098106054,23005,19.12652355,62361,51.84738689,3161,2.628078285,65476,54.43722044,227/229
35,JINJA,Kyagulanyi_Ssentamu_Robert_VOTES,154750,1512,0.977059774,133,0.085945073,694,0.448465267,221,0.142810985,43920,28.3812601,173,0.111793215,36,0.023263328,276,0.178352181,43,0.027786753,85,0.054927302,21202,13.70080775,68295,44.13247173,3161,2.042649435,71045,45.9095315,256/259
36,KAABONG,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,41211,318,0.77163864,75,0.181990245,74,0.179563709,61,0.148018733,1218,2.955521584,140,0.339715125,659,1.599087622,145,0.351847808,146,0.354274344,848,2.05770304,26100,63.33260537,29784,72.27196622,3161,7.670282206,33005,80.08784063,136/136
37,KABALE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,136559,2716,1.988883926,109,0.079818979,338,0.247512064,696,0.509669813,8168,5.981297461,130,0.095196948,44,0.032220505,993,0.727158225,128,0.093732379,423,0.309756223,75032,54.94474916,88777,65.00999568,3161,2.314750401,91024,66.65543831,256/256
38,KABAROLE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,107428,477,0.444018319,144,0.134043266,125,0.116357002,198,0.184309491,9963,9.274118479,109,0.101463306,50,0.046542801,606,0.564098745,227,0.211304315,266,0.2476077,50058,46.59679041,62223,57.92065383,3161,2.942435864,65479,60.95152102,207/207
39,KABERAMAIDO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,52210,3378,6.470024899,228,0.436697951,180,0.34476154,156,0.298793335,9058,17.34916683,196,0.37540701,201,0.38498372,294,0.563110515,244,0.467343421,298,0.570771883,18589,35.60429037,32822,62.86535147,3161,6.05439571,34278,65.65408925,95/95
#N/A,KAGADI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,175680,840,0.478142077,1129,0.642645719,181,0.103028233,265,0.150842441,15758,8.969717668,105,0.05976776,51,0.029030055,442,0.251593807,614,0.349499089,399,0.227117486,88830,50.56352459,108614,61.82490893,3161,1.799294171,113651,64.69205373,404/404
#N/A,KAKUMIRO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,140691,305,0.216787143,690,0.490436488,89,0.063259199,166,0.117989068,10903,7.749607295,77,0.054729869,30,0.021323326,304,0.216076366,83,0.058994534,321,0.228159584,73132,51.98058156,86100,61.19794443,3161,2.246767739,89447,63.57691679,317/317
#N/A,KALAKI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,53973,4794,8.882218887,195,0.361291757,193,0.357586201,81,0.150075038,3839,7.112815667,136,0.251977841,287,0.531747355,121,0.224186167,73,0.135252812,140,0.259388954,24556,45.49682249,34415,63.76336316,3161,5.85663202,35978,66.65925555,103/103
40,KALANGALA,Kyagulanyi_Ssentamu_Robert_VOTES,35465,95,0.267869731,13,0.036655858,28,0.078951079,78,0.219935147,13121,36.99703933,40,0.112787255,5,0.014098407,35,0.098688848,16,0.045114902,35,0.098688848,5275,14.87381926,18741,52.84364867,3161,8.91301283,19741,55.66333004,90/90
41,KALIRO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,109466,728,0.665046681,126,0.115104233,457,0.417481227,121,0.110536605,27032,24.69442567,122,0.111450131,34,0.031059872,124,0.113277182,247,0.225640838,230,0.210110902,38189,34.88663147,67410,61.5807648,3161,2.887654614,70504,64.4072132,259/259
42,KALUNGU,Kyagulanyi_Ssentamu_Robert_VOTES,88687,119,0.134179756,33,0.037209512,51,0.05750561,81,0.091332439,38352,43.24421843,120,0.135307317,25,0.028189024,97,0.109373414,41,0.04623,94,0.105990731,16377,18.46606605,55390,62.45560229,3161,3.564220235,56777,64.01952936,188/188
43,KAMPALA,Kyagulanyi_Ssentamu_Robert_VOTES,1280409,6608,0.516085095,1441,0.112542164,897,0.07005574,1698,0.132613876,391787,30.59858217,1372,0.107153261,89,0.006950904,4795,0.374489714,202,0.015776209,433,0.033817319,128658,10.04819554,537980,42.01626199,3161,0.246874241,550604,43.00219695,1400/1423
44,KAMULI,Kyagulanyi_Ssentamu_Robert_VOTES,236917,1129,0.476538197,309,0.130425423,1112,0.469362688,377,0.159127458,65774,27.76246534,239,0.100879211,119,0.050228561,487,0.20555722,275,0.116074406,540,0.227927924,57470,24.25744037,127831,53.95602679,3161,1.334222534,133730,56.44592832,456/456
45,KAMWENGE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,117466,386,0.328605724,41,0.034903717,82,0.069807434,149,0.126845215,3969,3.37885005,41,0.034903717,38,0.032349786,517,0.440127356,90,0.076617915,108,0.091941498,85241,72.56652989,90662,77.1814823,3161,2.690991436,91749,78.10685645,250/250
